Country,Element,Item,Year,Unit,Value
Spain,Production,Pigmeat,2002,1000 tonnes,3070
Spain,Production,Pigmeat,2003,1000 tonnes,3190
Spain,Production,Pigmeat,2004,1000 tonnes,3076
Spain,Production,Pigmeat,2005,1000 tonnes,3168
Spain,Production,Pigmeat,2006,1000 tonnes,3235
Spain,Production,Pigmeat,2007,1000 tonnes,3439
Spain,Production,Pigmeat,2008,1000 tonnes,3484
Spain,Production,Pigmeat,2009,1000 tonnes,3291
Spain,Production,Pigmeat,2010,1000 tonnes,3369
Spain,Production,Pigmeat,2011,1000 tonnes,3469
Spain,Production,Pigmeat,2012,1000 tonnes,3466
Spain,Production,Pigmeat,2013,1000 tonnes,3431
Spain,Production,Poultry Meat,2000,1000 tonnes,990
Spain,Production,Poultry Meat,2001,1000 tonnes,1039
Spain,Production,Poultry Meat,2002,1000 tonnes,1226
Spain,Production,Poultry Meat,2003,1000 tonnes,1227
Spain,Production,Poultry Meat,2004,1000 tonnes,1133
Spain,Production,Poultry Meat,2005,1000 tonnes,1146
Spain,Production,Poultry Meat,2006,1000 tonnes,1139
Spain,Production,Poultry Meat,2007,1000 tonnes,1221
Spain,Production,Poultry Meat,2008,1000 tonnes,1187
Spain,Production,Poultry Meat,2009,1000 tonnes,1295
Spain,Production,Poultry Meat,2010,1000 tonnes,1245
Spain,Production,Poultry Meat,2011,1000 tonnes,1355
Spain,Production,Poultry Meat,2012,1000 tonnes,1368
Spain,Production,Poultry Meat,2013,1000 tonnes,1329
Spain,Production,"Meat, Other",2000,1000 tonnes,119
Spain,Production,"Meat, Other",2001,1000 tonnes,127
Spain,Production,"Meat, Other",2002,1000 tonnes,133
Spain,Production,"Meat, Other",2003,1000 tonnes,125
Spain,Production,"Meat, Other",2004,1000 tonnes,86
Spain,Production,"Meat, Other",2005,1000 tonnes,84
Spain,Production,"Meat, Other",2006,1000 tonnes,86
Spain,Production,"Meat, Other",2007,1000 tonnes,89
Spain,Production,"Meat, Other",2008,1000 tonnes,85
Spain,Production,"Meat, Other",2009,1000 tonnes,78
Spain,Production,"Meat, Other",2010,1000 tonnes,81
Spain,Production,"Meat, Other",2011,1000 tonnes,86
Spain,Production,"Meat, Other",2012,1000 tonnes,91
Spain,Production,"Meat, Other",2013,1000 tonnes,85
Spain,Production,Eggs,2000,1000 tonnes,661
Spain,Production,Eggs,2001,1000 tonnes,671
Spain,Production,Eggs,2002,1000 tonnes,737
Spain,Production,Eggs,2003,1000 tonnes,772
Spain,Production,Eggs,2004,1000 tonnes,855
Spain,Production,Eggs,2005,1000 tonnes,710
Spain,Production,Eggs,2006,1000 tonnes,829
Spain,Production,Eggs,2007,1000 tonnes,827
Spain,Production,Eggs,2008,1000 tonnes,814
Spain,Production,Eggs,2009,1000 tonnes,831
Spain,Production,Eggs,2010,1000 tonnes,814
Spain,Production,Eggs,2011,1000 tonnes,820
Spain,Production,Eggs,2012,1000 tonnes,720
Spain,Production,Eggs,2013,1000 tonnes,743
Sweden,Production,Wheat and products,2000,1000 tonnes,2372
Sweden,Production,Wheat and products,2001,1000 tonnes,2372
Sweden,Production,Wheat and products,2002,1000 tonnes,2088
Sweden,Production,Wheat and products,2003,1000 tonnes,2256
